 C+          , coolant no=           1
   32   15 ->   12 lam[mic]= 1.316846E+00 Eu[K]= 1.384E+05 Aul[1/s]= 1.190E+07 Ncr[cm^-2]= 5.481E+10                ,                ->                ,                
   33   15 ->    1 lam[mic]= 1.039231E-01 Eu[K]= 1.384E+05 Aul[1/s]= 9.430E+07 Ncr[cm^-2]= 1.407E+13                ,                ->                ,                
   34   15 ->   13 lam[mic]= 1.316873E+00 Eu[K]= 1.384E+05 Aul[1/s]= 2.380E+06 Ncr[cm^-2]= 5.481E+10                ,                ->                ,                
   35   15 ->   11 lam[mic]= 1.316749E+00 Eu[K]= 1.384E+05 Aul[1/s]= 7.140E+06 Ncr[cm^-2]= 5.482E+10                ,                ->                ,                
   36   15 ->    3 lam[mic]= 1.041688E-01 Eu[K]= 1.384E+05 Aul[1/s]= 1.880E+07 Ncr[cm^-2]= 1.402E+13                ,                ->                ,                
   37   16 ->   10 lam[mic]= 9.268548E-01 Eu[K]= 1.402E+05 Aul[1/s]= 4.450E+07 Ncr[cm^-2]= 1.962E+10                ,                ->                ,                
   38   17 ->    9 lam[mic]= 9.265318E-01 Eu[K]= 1.402E+05 Aul[1/s]= 2.970E+07 Ncr[cm^-2]= 2.702E+10                ,                ->                ,                
   39   17 ->   12 lam[mic]= 1.137712E+00 Eu[K]= 1.402E+05 Aul[1/s]= 1.010E+03 Ncr[cm^-2]= 4.292E+14                ,                ->                ,                
   40   17 ->   10 lam[mic]= 9.268475E-01 Eu[K]= 1.402E+05 Aul[1/s]= 1.480E+07 Ncr[cm^-2]= 7.584E+10                ,                ->                ,                
   41   18 ->   10 lam[mic]= 9.268369E-01 Eu[K]= 1.402E+05 Aul[1/s]= 2.970E+06 Ncr[cm^-2]= 5.291E+11                ,                ->                ,                
   42   18 ->    8 lam[mic]= 9.263478E-01 Eu[K]= 1.402E+05 Aul[1/s]= 1.560E+07 Ncr[cm^-2]= 4.324E+10                ,                ->                ,                
   43   18 ->    9 lam[mic]= 9.265212E-01 Eu[K]= 1.402E+05 Aul[1/s]= 2.600E+07 Ncr[cm^-2]= 4.321E+10                ,                ->                ,                
   44   19 ->    9 lam[mic]= 9.265124E-01 Eu[K]= 1.402E+05 Aul[1/s]= 1.110E+07 Ncr[cm^-2]= 1.687E+11                ,                ->                ,                
   45   19 ->   13 lam[mic]= 1.137703E+00 Eu[K]= 1.402E+05 Aul[1/s]= 3.980E+02 Ncr[cm^-2]= 5.082E+14                ,                ->                ,                
   46   19 ->    8 lam[mic]= 9.263389E-01 Eu[K]= 1.402E+05 Aul[1/s]= 3.340E+07 Ncr[cm^-2]= 3.366E+10                ,                ->                ,                
   47   20 ->    8 lam[mic]= 9.263347E-01 Eu[K]= 1.402E+05 Aul[1/s]= 4.460E+07 Ncr[cm^-2]= 7.562E+10                ,                ->                ,                
   48   21 ->   11 lam[mic]= 1.128950E+00 Eu[K]= 1.403E+05 Aul[1/s]= 1.290E+07 Ncr[cm^-2]= 4.815E+10                ,                ->                ,                
   49   21 ->   13 lam[mic]= 1.129041E+00 Eu[K]= 1.403E+05 Aul[1/s]= 1.720E+07 Ncr[cm^-2]= 1.203E+10                ,                ->                ,                
   50   21 ->   12 lam[mic]= 1.129021E+00 Eu[K]= 1.403E+05 Aul[1/s]= 8.600E+05 Ncr[cm^-2]= 1.203E+12                ,                ->                ,                
   51   21 ->    3 lam[mic]= 1.028157E-01 Eu[K]= 1.403E+05 Aul[1/s]= 4.220E+07 Ncr[cm^-2]= 6.495E+12                ,                ->                ,                
   52   21 ->    2 lam[mic]= 1.027431E-01 Eu[K]= 1.403E+05 Aul[1/s]= 3.170E+07 Ncr[cm^-2]= 2.599E+13                ,                ->                ,                
   53   21 ->    1 lam[mic]= 1.025767E-01 Eu[K]= 1.403E+05 Aul[1/s]= 2.110E+06 Ncr[cm^-2]= 6.540E+14                ,                ->                ,                
   54   22 ->    1 lam[mic]= 1.025767E-01 Eu[K]= 1.403E+05 Aul[1/s]= 1.910E+07 Ncr[cm^-2]= 4.335E+13                ,                ->                ,                
   55   22 ->   12 lam[mic]= 1.129012E+00 Eu[K]= 1.403E+05 Aul[1/s]= 7.740E+06 Ncr[cm^-2]= 8.023E+10                ,                ->                ,                
   56   22 ->   11 lam[mic]= 1.128941E+00 Eu[K]= 1.403E+05 Aul[1/s]= 2.320E+07 Ncr[cm^-2]= 1.606E+10                ,                ->                ,                
   57   22 ->    2 lam[mic]= 1.027431E-01 Eu[K]= 1.403E+05 Aul[1/s]= 5.710E+07 Ncr[cm^-2]= 8.658E+12                ,                ->                ,                
   58   23 ->    1 lam[mic]= 1.025757E-01 Eu[K]= 1.403E+05 Aul[1/s]= 7.660E+07 Ncr[cm^-2]= 7.721E+12                ,                ->                ,                
   59   23 ->    9 lam[mic]= 9.207459E-01 Eu[K]= 1.403E+05 Aul[1/s]= 1.660E+03 Ncr[cm^-2]= 4.926E+14                ,                ->                ,                
   60   23 ->   12 lam[mic]= 1.129001E+00 Eu[K]= 1.403E+05 Aul[1/s]= 3.090E+07 Ncr[cm^-2]= 1.435E+10                ,                ->                ,                
   61   24 ->    6 lam[mic]= 3.948704E-01 Eu[K]= 1.426E+05 Aul[1/s]= 4.870E+05 Ncr[cm^-2]= 4.967E+13                ,                ->                ,                
   62   24 ->   15 lam[mic]= 3.486849E+00 Eu[K]= 1.426E+05 Aul[1/s]= 4.720E+01 Ncr[cm^-2]= 4.466E+14                ,                ->                ,                
   63   24 ->   20 lam[mic]= 5.980944E+00 Eu[K]= 1.426E+05 Aul[1/s]= 9.920E+04 Ncr[cm^-2]= 1.404E+10                ,                ->                ,                
   64   24 ->   18 lam[mic]= 5.980400E+00 Eu[K]= 1.426E+05 Aul[1/s]= 1.740E+05 Ncr[cm^-2]= 4.002E+10                ,                ->                ,                
   65   24 ->   14 lam[mic]= 2.765303E+00 Eu[K]= 1.426E+05 Aul[1/s]= 4.290E+06 Ncr[cm^-2]= 1.642E+10                ,                ->                ,                
   66   24 ->   19 lam[mic]= 5.980768E+00 Eu[K]= 1.426E+05 Aul[1/s]= 2.230E+05 Ncr[cm^-2]= 1.873E+10                ,                ->                ,                
   67   25 ->   14 lam[mic]= 2.764789E+00 Eu[K]= 1.426E+05 Aul[1/s]= 4.290E+06 Ncr[cm^-2]= 9.857E+09                ,                ->                ,                
   68   25 ->    6 lam[mic]= 3.948599E-01 Eu[K]= 1.426E+05 Aul[1/s]= 4.880E+05 Ncr[cm^-2]= 2.975E+13                ,                ->                ,                
   69   25 ->   15 lam[mic]= 3.486031E+00 Eu[K]= 1.426E+05 Aul[1/s]= 6.200E+01 Ncr[cm^-2]= 2.041E+14                ,                ->                ,                
   70   25 ->   23 lam[mic]= 6.230130E+00 Eu[K]= 1.426E+05 Aul[1/s]= 1.710E+01 Ncr[cm^-2]= 3.026E+14                ,                ->                ,                
   71   25 ->   17 lam[mic]= 5.977554E+00 Eu[K]= 1.426E+05 Aul[1/s]= 2.780E+05 Ncr[cm^-2]= 2.107E+10                ,                ->                ,                
   72   25 ->   18 lam[mic]= 5.977994E+00 Eu[K]= 1.426E+05 Aul[1/s]= 1.740E+05 Ncr[cm^-2]= 2.404E+10                ,                ->                ,                
   73   25 ->   19 lam[mic]= 5.978362E+00 Eu[K]= 1.426E+05 Aul[1/s]= 4.470E+04 Ncr[cm^-2]= 5.614E+10                ,                ->                ,                
   74   26 ->   16 lam[mic]= 5.972977E+00 Eu[K]= 1.426E+05 Aul[1/s]= 3.840E+05 Ncr[cm^-2]= 1.404E+10                ,                ->                ,                
   75   26 ->   18 lam[mic]= 5.973723E+00 Eu[K]= 1.426E+05 Aul[1/s]= 1.420E+04 Ncr[cm^-2]= 2.109E+11                ,                ->                ,                
   76   26 ->    6 lam[mic]= 3.948412E-01 Eu[K]= 1.426E+05 Aul[1/s]= 4.910E+05 Ncr[cm^-2]= 2.112E+13                ,                ->                ,                
   77   26 ->   14 lam[mic]= 2.763875E+00 Eu[K]= 1.426E+05 Aul[1/s]= 4.300E+06 Ncr[cm^-2]= 7.031E+09                ,                ->                ,                
   78   26 ->   17 lam[mic]= 5.973284E+00 Eu[K]= 1.426E+05 Aul[1/s]= 9.950E+04 Ncr[cm^-2]= 4.214E+10                ,                ->                ,                
   79   27 ->   21 lam[mic]= 4.560816E+00 Eu[K]= 1.434E+05 Aul[1/s]= 2.460E+05 Ncr[cm^-2]= 3.829E+10                ,                ->                ,                
   80   27 ->    7 lam[mic]= 4.369485E-01 Eu[K]= 1.434E+05 Aul[1/s]= 7.580E+05 Ncr[cm^-2]= 1.413E+13                ,                ->                ,                
   81   27 ->   22 lam[mic]= 4.560962E+00 Eu[K]= 1.434E+05 Aul[1/s]= 7.390E+05 Ncr[cm^-2]= 2.124E+10                ,                ->                ,                
   82   27 ->   15 lam[mic]= 2.893586E+00 Eu[K]= 1.434E+05 Aul[1/s]= 4.100E+06 Ncr[cm^-2]= 8.997E+09                ,                ->                ,                
   83   28 ->   15 lam[mic]= 2.893519E+00 Eu[K]= 1.434E+05 Aul[1/s]= 4.100E+06 Ncr[cm^-2]= 5.398E+09                ,                ->                ,                
   84   28 ->   21 lam[mic]= 4.560648E+00 Eu[K]= 1.434E+05 Aul[1/s]= 9.860E+03 Ncr[cm^-2]= 5.733E+11                ,                ->                ,                
   85   28 ->   22 lam[mic]= 4.560793E+00 Eu[K]= 1.434E+05 Aul[1/s]= 1.480E+05 Ncr[cm^-2]= 6.365E+10                ,                ->                ,                
   86   28 ->   23 lam[mic]= 4.560981E+00 Eu[K]= 1.434E+05 Aul[1/s]= 8.280E+05 Ncr[cm^-2]= 1.593E+10                ,                ->                ,                
   87   28 ->    7 lam[mic]= 4.369470E-01 Eu[K]= 1.434E+05 Aul[1/s]= 7.590E+05 Ncr[cm^-2]= 8.468E+12                ,                ->                ,                
   88   29 ->   21 lam[mic]= 4.560107E+00 Eu[K]= 1.434E+05 Aul[1/s]= 9.860E+05 Ncr[cm^-2]= 2.867E+10                ,                ->                ,                
   89   29 ->   15 lam[mic]= 2.893301E+00 Eu[K]= 1.434E+05 Aul[1/s]= 4.100E+06 Ncr[cm^-2]= 2.700E+10                ,                ->                ,                
   90   29 ->    7 lam[mic]= 4.369420E-01 Eu[K]= 1.434E+05 Aul[1/s]= 7.560E+05 Ncr[cm^-2]= 4.251E+13                ,                ->                ,                
   91   30 ->   12 lam[mic]= 7.997274E-01 Eu[K]= 1.455E+05 Aul[1/s]= 5.630E+04 Ncr[cm^-2]= 2.217E+13                ,                ->                ,                
   92   30 ->    1 lam[mic]= 9.887774E-02 Eu[K]= 1.455E+05 Aul[1/s]= 2.260E+08 Ncr[cm^-2]= 2.922E+12                ,                ->                ,                
   93   30 ->    4 lam[mic]= 1.172779E-01 Eu[K]= 1.455E+05 Aul[1/s]= 7.970E+03 Ncr[cm^-2]= 4.965E+16                ,                ->                ,                
   94   31 ->   12 lam[mic]= 7.989531E-01 Eu[K]= 1.455E+05 Aul[1/s]= 1.410E+04 Ncr[cm^-2]= 1.243E+14                ,                ->                ,                
   95   31 ->    1 lam[mic]= 9.886503E-02 Eu[K]= 1.455E+05 Aul[1/s]= 5.770E+07 Ncr[cm^-2]= 1.603E+13                ,                ->                ,                
   96   31 ->   11 lam[mic]= 7.989174E-01 Eu[K]= 1.455E+05 Aul[1/s]= 4.190E+04 Ncr[cm^-2]= 2.510E+13                ,                ->                ,                
   97   31 ->    2 lam[mic]= 9.902043E-02 Eu[K]= 1.455E+05 Aul[1/s]= 1.680E+08 Ncr[cm^-2]= 3.287E+12                ,                ->                ,                
   98   31 ->    4 lam[mic]= 1.172613E-01 Eu[K]= 1.455E+05 Aul[1/s]= 3.660E+02 Ncr[cm^-2]= 1.514E+18                ,                ->                ,                
   99   32 ->   13 lam[mic]= 7.984594E-01 Eu[K]= 1.455E+05 Aul[1/s]= 3.090E+04 Ncr[cm^-2]= 1.894E+13                ,                ->                ,                
  100   32 ->    5 lam[mic]= 1.484498E-01 Eu[K]= 1.455E+05 Aul[1/s]= 9.050E+03 Ncr[cm^-2]= 1.006E+16                ,                ->                ,                
  101   32 ->   11 lam[mic]= 7.984137E-01 Eu[K]= 1.455E+05 Aul[1/s]= 2.330E+04 Ncr[cm^-2]= 7.536E+13                ,                ->                ,                
